pairs	target	gold	order	distractors	full_sent	prefix	sent
7165	is	is	x	1	The most prestigious award for horses is sovereign horse of the year.	The most prestigious award for horses	The most prestigious award for horses is
7165	are	is	y	1	The most prestigious award for horses is sovereign horse of the year.	The most prestigious award for horses	The most prestigious award for horses are
7166	include	include	x	1	Viruses in this category include the anelloviridae, circoviridae, and parvoviridae( which infect vertebrates), the geminiviridae and nanoviridae( which infect plants), and the microviridae( which infect prokaryotes).	Viruses in this category	Viruses in this category include
7166	includes	include	y	1	Viruses in this category include the anelloviridae, circoviridae, and parvoviridae( which infect vertebrates), the geminiviridae and nanoviridae( which infect plants), and the microviridae( which infect prokaryotes).	Viruses in this category	Viruses in this category includes
7167	are	are	x	1	The sole sources of commercial supply are in galicia, at boryslav, dzwiniacz and starunia, though the mineral is found at other points on both flanks of the carpathians.	The sole sources of commercial supply	The sole sources of commercial supply are
7167	is	are	y	1	The sole sources of commercial supply are in galicia, at boryslav, dzwiniacz and starunia, though the mineral is found at other points on both flanks of the carpathians.	The sole sources of commercial supply	The sole sources of commercial supply is
7168	are	are	x	2	The seven letters of the genesis logo on the cover are parts of the different album cover logos over the years.	The seven letters of the genesis logo on the cover	The seven letters of the genesis logo on the cover are
7168	is	are	y	2	The seven letters of the genesis logo on the cover are parts of the different album cover logos over the years.	The seven letters of the genesis logo on the cover	The seven letters of the genesis logo on the cover is
7169	is	is	x	0	Whether communication is synchronous or asynchronous.	Whether communication	Whether communication is
7169	are	is	y	0	Whether communication is synchronous or asynchronous.	Whether communication	Whether communication are
7170	is	is	x	1	So a more accurate description of these figures is`` apparent equatorial gravity when co-rotating with visible surface of cloud deck''.	So a more accurate description of these figures	So a more accurate description of these figures is
7170	are	is	y	1	So a more accurate description of these figures is`` apparent equatorial gravity when co-rotating with visible surface of cloud deck''.	So a more accurate description of these figures	So a more accurate description of these figures are
