pairs	order	P	T	prime	target
1667	x	Active	Active	a nurse wraps a telephone.	the minister discovered the salad.
1668	x	Passive	Passive	a cheese is selected by a princess.	the salad was discovered by the minister.
1668	y	Active	Passive	a princess selects a cheese.	the salad was discovered by the minister.
1669	y	Passive	Active	a cheese is selected by a princess.	the minister discovered the salad.
1669	x	Active	Active	a princess selects a cheese.	the minister discovered the salad.
1670	x	Passive	Passive	a coffee is destroyed by a mayor.	the salad was discovered by the minister.
1670	y	Active	Passive	a mayor destroys a coffee.	the salad was discovered by the minister.
1671	y	Passive	Active	a coffee is destroyed by a mayor.	the minister discovered the salad.
1671	x	Active	Active	a mayor destroys a coffee.	the minister discovered the salad.
1672	x	Passive	Passive	a juice is caught by a mother.	the salad was discovered by the minister.
1672	y	Active	Passive	a mother catches a juice.	the salad was discovered by the minister.
1673	y	Passive	Active	a juice is caught by a mother.	the minister discovered the salad.
1673	x	Active	Active	a mother catches a juice.	the minister discovered the salad.
1674	x	Passive	Passive	a leader is bothered by a worker.	the salad was discovered by the minister.
1674	y	Active	Passive	a worker bothers a leader.	the salad was discovered by the minister.
1675	y	Passive	Active	a leader is bothered by a worker.	the minister discovered the salad.
1675	x	Active	Active	a worker bothers a leader.	the minister discovered the salad.
1676	x	Passive	Passive	a guy is punched by a kid.	the salad was discovered by the minister.
1676	y	Active	Passive	a kid punches a guy.	the salad was discovered by the minister.
1677	y	Passive	Active	a guy is punched by a kid.	the minister discovered the salad.
1677	x	Active	Active	a kid punches a guy.	the minister discovered the salad.
1678	x	Passive	Passive	a chocolate is smelled by an opponent.	the salad was discovered by the minister.
1678	y	Active	Passive	an opponent smells a chocolate.	the salad was discovered by the minister.
1679	y	Passive	Active	a chocolate is smelled by an opponent.	the minister discovered the salad.
1679	x	Active	Active	an opponent smells a chocolate.	the minister discovered the salad.
1680	x	Passive	Passive	a candy is tasted by a parent.	the coat was prepared by the buddy.
1680	y	Active	Passive	a parent tastes a candy.	the coat was prepared by the buddy.
1681	y	Passive	Active	a candy is tasted by a parent.	the buddy prepared the coat.
1681	x	Active	Active	a parent tastes a candy.	the buddy prepared the coat.
1682	x	Passive	Passive	a guest is joined by an aunt.	the coat was prepared by the buddy.
1682	y	Active	Passive	an aunt joins a guest.	the coat was prepared by the buddy.
1683	y	Passive	Active	a guest is joined by an aunt.	the buddy prepared the coat.
1683	x	Active	Active	an aunt joins a guest.	the buddy prepared the coat.
1684	x	Passive	Passive	an employer is understood by a sheriff.	the coat was prepared by the buddy.
1684	y	Active	Passive	a sheriff understands an employer.	the coat was prepared by the buddy.
1685	y	Passive	Active	an employer is understood by a sheriff.	the buddy prepared the coat.
1685	x	Active	Active	a sheriff understands an employer.	the buddy prepared the coat.
1686	x	Passive	Passive	a priest is hurried by a manager.	the coat was prepared by the buddy.
1686	y	Active	Passive	a manager hurries a priest.	the coat was prepared by the buddy.
1687	y	Passive	Active	a priest is hurried by a manager.	the buddy prepared the coat.
1687	x	Active	Active	a manager hurries a priest.	the buddy prepared the coat.
1688	x	Passive	Passive	a pot is left by a mayor.	the coat was prepared by the buddy.
1688	y	Active	Passive	a mayor leaves a pot.	the coat was prepared by the buddy.
1689	y	Passive	Active	a pot is left by a mayor.	the buddy prepared the coat.
1689	x	Active	Active	a mayor leaves a pot.	the buddy prepared the coat.
1690	x	Passive	Passive	an actress is selected by a daughter.	the coat was prepared by the buddy.
1690	y	Active	Passive	a daughter selects an actress.	the coat was prepared by the buddy.
1691	y	Passive	Active	an actress is selected by a daughter.	the buddy prepared the coat.
1691	x	Active	Active	a daughter selects an actress.	the buddy prepared the coat.
1692	x	Passive	Passive	a card is destroyed by a president.	the coat was prepared by the buddy.
1692	y	Active	Passive	a president destroys a card.	the coat was prepared by the buddy.
1693	y	Passive	Active	a card is destroyed by a president.	the buddy prepared the coat.
1693	x	Active	Active	a president destroys a card.	the buddy prepared the coat.
1694	x	Passive	Passive	a pie is carried by a pilot.	the coat was prepared by the buddy.
1694	y	Active	Passive	a pilot carries a pie.	the coat was prepared by the buddy.
1695	y	Passive	Active	a pie is carried by a pilot.	the buddy prepared the coat.
1695	x	Active	Active	a pilot carries a pie.	the buddy prepared the coat.
1696	x	Passive	Passive	an uncle is punched by a leader.	the coat was prepared by the buddy.
1696	y	Active	Passive	a leader punches an uncle.	the coat was prepared by the buddy.
1697	y	Passive	Active	an uncle is punched by a leader.	the buddy prepared the coat.
1697	x	Active	Active	a leader punches an uncle.	the buddy prepared the coat.
1698	x	Passive	Passive	a plate is left by a kid.	the coat was prepared by the buddy.
1698	y	Active	Passive	a kid leaves a plate.	the coat was prepared by the buddy.
1699	y	Passive	Active	a plate is left by a kid.	the buddy prepared the coat.
1699	x	Active	Active	a kid leaves a plate.	the buddy prepared the coat.
1700	x	Passive	Passive	the winner was beaten by the professor.	a sheriff is bothered by a lawyer.
1700	y	Active	Passive	the professor beat the winner.	a sheriff is bothered by a lawyer.
1701	y	Passive	Active	the winner was beaten by the professor.	a lawyer bothers a sheriff.
1701	x	Active	Active	the professor beat the winner.	a lawyer bothers a sheriff.
1702	x	Passive	Passive	the telephone was destroyed by the priest.	a sheriff is bothered by a lawyer.
1702	y	Active	Passive	the priest destroyed the telephone.	a sheriff is bothered by a lawyer.
1703	y	Passive	Active	the telephone was destroyed by the priest.	a lawyer bothers a sheriff.
1703	x	Active	Active	the priest destroyed the telephone.	a lawyer bothers a sheriff.
1704	x	Passive	Passive	the kid was hurt by the physician.	a sheriff is bothered by a lawyer.
1704	y	Active	Passive	the physician hurt the kid.	a sheriff is bothered by a lawyer.
1705	y	Passive	Active	the kid was hurt by the physician.	a lawyer bothers a sheriff.
1705	x	Active	Active	the physician hurt the kid.	a lawyer bothers a sheriff.
1706	x	Passive	Passive	the mother was comforted by the worker.	a sheriff is bothered by a lawyer.
1706	y	Active	Passive	the worker comforted the mother.	a sheriff is bothered by a lawyer.
1707	y	Passive	Active	the mother was comforted by the worker.	a lawyer bothers a sheriff.
1707	x	Active	Active	the worker comforted the mother.	a lawyer bothers a sheriff.
1708	x	Passive	Passive	the bowl was discovered by the colonel.	a sheriff is bothered by a lawyer.
1708	y	Active	Passive	the colonel discovered the bowl.	a sheriff is bothered by a lawyer.
1709	y	Passive	Active	the bowl was discovered by the colonel.	a lawyer bothers a sheriff.
1709	x	Active	Active	the colonel discovered the bowl.	a lawyer bothers a sheriff.
1710	x	Passive	Passive	the bag was raised by the partner.	a sheriff is bothered by a lawyer.
1710	y	Active	Passive	the partner raised the bag.	a sheriff is bothered by a lawyer.
1711	y	Passive	Active	the bag was raised by the partner.	a lawyer bothers a sheriff.
1711	x	Active	Active	the partner raised the bag.	a lawyer bothers a sheriff.
1712	x	Passive	Passive	the mother was joined by the colonel.	a sheriff is bothered by a lawyer.
1712	y	Active	Passive	the colonel joined the mother.	a sheriff is bothered by a lawyer.
1713	y	Passive	Active	the mother was joined by the colonel.	a lawyer bothers a sheriff.
1713	x	Active	Active	the colonel joined the mother.	a lawyer bothers a sheriff.
1714	x	Passive	Passive	the aunt was carried by the wife.	a sheriff is bothered by a lawyer.
1714	y	Active	Passive	the wife carried the aunt.	a sheriff is bothered by a lawyer.
1715	y	Passive	Active	the aunt was carried by the wife.	a lawyer bothers a sheriff.
1715	x	Active	Active	the wife carried the aunt.	a lawyer bothers a sheriff.
1716	x	Passive	Passive	the key was accepted by the student.	a sheriff is bothered by a lawyer.
1716	y	Active	Passive	the student accepted the key.	a sheriff is bothered by a lawyer.
1717	y	Passive	Active	the key was accepted by the student.	a lawyer bothers a sheriff.
1717	x	Active	Active	the student accepted the key.	a lawyer bothers a sheriff.
1718	x	Passive	Passive	the nurse was selected by the reader.	a sheriff is bothered by a lawyer.
1718	y	Active	Passive	the reader selected the nurse.	a sheriff is bothered by a lawyer.
1719	y	Passive	Active	the nurse was selected by the reader.	a lawyer bothers a sheriff.
1719	x	Active	Active	the reader selected the nurse.	a lawyer bothers a sheriff.
1720	x	Passive	Passive	a reader is punched by a woman.	the actor was bothered by the parent.
1720	y	Active	Passive	a woman punches a reader.	the actor was bothered by the parent.
1721	y	Passive	Active	a reader is punched by a woman.	the parent bothered the actor.
1721	x	Active	Active	a woman punches a reader.	the parent bothered the actor.
1722	x	Passive	Passive	a company is hurt by a lady.	the actor was bothered by the parent.
1722	y	Active	Passive	a lady hurts a company.	the actor was bothered by the parent.
1723	y	Passive	Active	a company is hurt by a lady.	the parent bothered the actor.
1723	x	Active	Active	a lady hurts a company.	the parent bothered the actor.
1724	x	Passive	Passive	a champion is surprised by a hero.	the actor was bothered by the parent.
1724	y	Active	Passive	a hero surprises a champion.	the actor was bothered by the parent.
1725	y	Passive	Active	a champion is surprised by a hero.	the parent bothered the actor.
1725	x	Active	Active	a hero surprises a champion.	the parent bothered the actor.
1726	x	Passive	Passive	a beer is smelled by a woman.	the actor was bothered by the parent.
1726	y	Active	Passive	a woman smells a beer.	the actor was bothered by the parent.
1727	y	Passive	Active	a beer is smelled by a woman.	the parent bothered the actor.
1727	x	Active	Active	a woman smells a beer.	the parent bothered the actor.
1728	x	Passive	Passive	a key is broken by a guest.	the actor was bothered by the parent.
1728	y	Active	Passive	a guest breaks a key.	the actor was bothered by the parent.
1729	y	Passive	Active	a key is broken by a guest.	the parent bothered the actor.
1729	x	Active	Active	a guest breaks a key.	the parent bothered the actor.
1730	x	Passive	Passive	a wire is left by a worker.	the actor was bothered by the parent.
1730	y	Active	Passive	a worker leaves a wire.	the actor was bothered by the parent.
1731	y	Passive	Active	a wire is left by a worker.	the parent bothered the actor.
1731	x	Active	Active	a worker leaves a wire.	the parent bothered the actor.
1732	x	Passive	Passive	a meal is caught by an employer.	the actor was bothered by the parent.
